Id,Name,Number of Recordings,Latitude,Longitude,Altitude,Timezone,Skip,Elevation (USGS),Altitude Original,Delta,Latitude,Longitude,elevation,DEM
6199,2020 Hay Landfill,5499,38.306,-121.825,6,America/Los_Angeles,,20.41,100,,38.306,-121.825,6.22,
7650,2020 Iron Point,4014,38.647,-121.104,172,America/Los_Angeles,,564.86,564,0.86,38.647,-121.104,172.17,
6404,2020 Markham Ravine,1808,38.872,-121.454,19,America/Los_Angeles,,62.35,100,,38.872,-121.454,19,
18572,2020 Ohlone - Santa Lucia Preserve,4240,36.508,-121.879,317,America/Los_Angeles,,1040.63,200,840.63,36.508,-121.879,317.19,
2915,2020 Rush Ranch,5497,38.208,-121.014,54,America/Los_Angeles,,177.54,30,147.54,38.208,-121.014,54.11,
24130,2021 Colusa NWR 27-1,8731,39.144,-122.028,14,America/Los_Angeles,,44.57,40,4.57,39.144,-122.028,13.58,
24221,2021 Colusa NWR 27-2,8621,39.137,-122.026,13,America/Los_Angeles,,44.02,564,519.98,39.137,-122.026,13.42,
21652,2021 Conaway East,3297,38.6386,-121.707,9,America/Los_Angeles,,30.89,100,,38.6386,-121.707,9.41,
24652,2021 Conaway South,3298,38.6376,-121.709,10,America/Los_Angeles,,31.21,100,,38.6376,-121.709,9.51,
21591,2021 Conaway West,3387,38.639,-121.71,9,America/Los_Angeles,,30.09,100,,38.639,-121.71,9.17,
21681,2021 Creed Road,6874,38.241,-121.888,13,America/Los_Angeles,,41.93,100,,38.241,-121.888,12.78,
24122,2021 Dagnino Pond,5324,37.74588,-121.744,180,America/Los_Angeles,,590,100,,37.74588,-121.744,179.83,
21668,2021 Foley Ranch,2958,39.07692,-121.494,21,America/Los_Angeles,,70.2,1,69.2,39.07692,-121.494,21.4,
21688,2021 Hale Road 2,2957,39.08391,-121.516,18,America/Los_Angeles,,60.44,100,,39.08391,-121.516,18.42,
11101,2021 Hay Landfill,5970,38.306,-121.825,6,America/Los_Angeles,,20.41,20,0.41,38.306,-121.825,6.22,
24658,2021 Iron Point,6708,38.647,-121.104,172,America/Los_Angeles,,564.86,564,0.86,38.647,-121.104,172.17,
24606,2021 Kern 1,8142,35.677,-118.27,813,America/Los_Angeles,,2668.2,100,,35.677,-118.27,813.27,
24544,2021 Kern 2,7882,35.62,-118.476,757,America/Los_Angeles,,2485.2,100,,35.62,-118.476,757.49,
24641,2021 Kern 3,8030,35.731,-118.172,865,America/Los_Angeles,,2839.08,100,,35.731,-118.172,865.35,
24655,2021 Kern 4,7854,35.666,-118.307,805,America/Los_Angeles,,2639.53,100,,35.666,-118.307,804.53,
26534,2021 Kern 5,7911,35.66,-118.312,804,America/Los_Angeles,,2638.97,100,,35.66,-118.312,804.36,
26535,2021 Kern 6,7880,35.39545,-118.449,1150,America/Los_Angeles,,3771.38,100,,35.39545,-118.449,1149.52,
26536,2021 Kern 7,7547,35.671,-118.29,807,America/Los_Angeles,,2647.57,100,,35.671,-118.29,806.98,
26432,2021 Markham Ravine,3894,38.872,-121.454,19,America/Los_Angeles,,62.35,100,,38.872,-121.454,19,
24252,2021 Orchard Creek,5465,38.86183,-121.371,28,America/Los_Angeles,,90.51,100,,38.86183,-121.371,27.59,
24233,2021 Panoche Creek Preserve 1W,7507,36.59059,-120.769,314,America/Los_Angeles,,1030.68,100,,36.59059,-120.769,314.15,
24232,2021 Panoche Creek Preserve 2E,7507,36.59072,-120.765,306,America/Los_Angeles,,1003.79,100,,36.59072,-120.765,305.96,
21537,2021 Plumas Arboga,1515,39.0296,-121.537,17,America/Los_Angeles,,54.45,100,,39.0296,-121.537,16.6,
24119,2021 Rancho Jamul,4997,32.68459,-116.856,234,America/Los_Angeles,,768.42,235.13,533.29,32.68459,-116.856,234.22,
24651,2021 Reeds Creek North,1155,39.1079,-121.507,22,America/Los_Angeles,,72.91,100,,39.1079,-121.507,22.22,
24653,2021 Reeds Creek South,1155,39.1049,-121.507,21,America/Los_Angeles,,68.05,100,,39.1049,-121.507,20.74,
24231,2021 Rodeo Grounds 1,3954,38.8627,-121.287,52,America/Los_Angeles,,170.07,100,,38.8627,-121.287,51.84,
24549,2021 Rush Ranch,6857,38.208,-122.014,6,America/Los_Angeles,,21.14,30,8.86,38.208,-122.014,6.44,
11100,2021 Sedgwick,3941,34.695,-120.042,341,America/Los_Angeles,,1118.73,1120,1.27,34.695,-120.042,340.99,
25171,2021 SJWA,2026,33.7,-117,540,America/Los_Angeles,,1771.01,100,,33.7,-117,539.81,
24107,2021 Willey Wetlands 1,4915,38.77773,-121.564,6,America/Los_Angeles,,21.02,100,,38.77773,-121.564,6.41,
24261,2021 Willey Wetlands 2,4914,38.77505,-121.564,6,America/Los_Angeles,,20.63,100,,38.77505,-121.564,6.29,
24263,2021 Willey Wetlands 3,4523,38.77433,-121.564,5,America/Los_Angeles,,17.47,100,,38.77433,-121.564,5.32,
24790,2021 Wind Wolves Preserve,6481,34.9574,-119.132,745,America/Los_Angeles,,2444.43,100,,34.9574,-119.132,745.06,
34485,2022 Baja 1,7507,32.53798,-116.318,972,America/Tijuana,,3188.76,100,,32.53798,-116.318,971.93,
53136,2022 Baja 2,8238,32.538,-116.318,972,America/Tijuana,,3188.76,100,,32.538,-116.318,971.93,
34044,2022 Colusa NWR T27.1,7178,39.13733,-122.026,13,America/Los_Angeles,,44.19,100,,39.13733,-122.026,13.47,
34079,2022 Colusa NWR T27.2,7736,39.13741,-122.026,14,America/Los_Angeles,,44.3,100,,39.13741,-122.026,13.5,
34115,2022 Conaway East,7183,38.646,-121.694,10,America/Los_Angeles,,32.85,100,,38.646,-121.694,10.01,
34111,2022 Conaway New Easement Pond West,4743,38.63886,-121.709,9,America/Los_Angeles,,30.28,100,,38.63886,-121.709,9.23,
34112,2022 Conaway North,7898,38.6547,-121.686,8,America/Los_Angeles,,26.99,100,,38.6547,-121.686,8.23,
34113,2022 Conaway North A,7900,38.6547,-121.686,8,America/Los_Angeles,,26.99,100,,38.6547,-121.686,8.23,
34078,2022 Creed Road,13269,38.241,-121.888,13,America/Los_Angeles,,41.93,100,,38.241,-121.888,12.78,
34118,2022 Foley Ranch A,3101,39.07692,-121.494,21,America/Los_Angeles,,70.2,100,,39.07692,-121.494,21.4,
34119,2022 Foley Ranch B,3104,39.07692,-121.494,21,America/Los_Angeles,,70.2,100,,39.07692,-121.494,21.4,
33966,2022 Hay Landfill,14468,38.306,-121.825,6,America/Los_Angeles,,20.41,100,,38.306,-121.825,6.22,
34133,2022 Private Site 2 - not real lat lon,932,37,-120,94,America/Los_Angeles,,306.83,100,,37,-120,93.52,
34132,2022 Private Site 3 - not real lat lon,3228,37,-120,94,America/Los_Angeles,,306.83,100,,37,-120,93.52,
34077,2022 Laguna Seca,8109,36.57177,-121.768,117,America/Los_Angeles,,383.72,100,,36.57177,-121.768,116.96,
34117,2022 Los Vaqueros Reservoir,3898,37.83769,-121.696,79,America/Los_Angeles,,260.6,100,,37.83769,-121.696,79.43,
34076,2022 Marsh Creek Reservoir,3904,37.8884,-121.726,51,America/Los_Angeles,,168.73,100,,37.8884,-121.726,51.43,
34075,2022 Newberry Springs - Lake Wainani,575,34.87733,-116.606,549,America/Los_Angeles,,1802.21,100,,34.87733,-116.606,549.31,
34090,2022 Ohlone - Santa Lucia Preserve,10658,36.508,-121.879,317,America/Los_Angeles,,1040.63,100,,36.508,-121.879,317.19,
33851,2022 OR1,7373,44.72274,-121.238,481,America/Los_Angeles,,1579.52,100,,44.72274,-121.238,481.44,
34073,2022 OR2,5785,44.37124,-120.927,888,America/Los_Angeles,,2911.92,100,,44.37124,-120.927,887.55,
34071,2022 Paicines Ranch - Teal Pond,8369,36.71355,-121.296,192,America/Los_Angeles,,630.16,100,,36.71355,-121.296,192.07,
34072,2022 Paicines Ranch - Teal Pond B,7658,36.71355,-121.296,192,America/Los_Angeles,,630.16,100,,36.71355,-121.296,192.07,
52597,2022 Panoche Creek Preserve Loc3,6990,36.591,-120.591,207,America/Los_Angeles,,679.33,100,,36.591,-120.591,207.06,
52598,2022 Panoche Creek Preserve Loc4,1644,36.591,-120.769,319,America/Los_Angeles,,1046.29,100,,36.591,-120.769,318.91,
34130,2022 Panoche Creek Preserve Loc5,5040,36.591,-120.769,319,America/Los_Angeles,,1046.29,100,,36.591,-120.769,318.91,
34012,2022 Plumas Arboga East,7896,39.03743,-121.534,18,America/Los_Angeles,,60.58,100,,39.03743,-121.534,18.46,
34013,2022 Plumas Arboga West,6897,39.03737,-121.537,18,America/Los_Angeles,,59.65,100,,39.03737,-121.537,18.18,
34045,2022 Rancho Jamul,8547,32.685,-116.856,237,America/Los_Angeles,,778.92,235.13,543.79,32.685,-116.856,237.42,
34131,2022 Private Site 1 - not real lat lon,3239,37,-120,94,America/Los_Angeles,,306.83,100,,37,-120,93.52,
33985,2022 Sedgwick,7703,34.695,-120.042,341,America/Los_Angeles,,1118.73,1120,1.27,34.695,-120.042,340.99,
34046,2022 SJWA,3457,33.86274,-117.073,436,America/Los_Angeles,,1429.95,100,,33.86274,-117.073,435.85,
33984,2022 WA Harder Spring,7984,46.6572,-118.499,276,America/Los_Angeles,,905.18,100,,46.6572,-118.499,275.9,
33845,2022 WA1,4754,46.8521,-119.183,284,America/Los_Angeles,,932.78,100,,46.8521,-119.183,284.31,
25861,2022 WC-WR1,4607,38.66195,-121.177,53,America/Los_Angeles,Y,173.65,100,,38.66195,-121.177,52.93,
34088,2022 Wind Wolves Preserve Pleitito Creek,5469,34.9536,-119.141,795,America/Los_Angeles,,2609.44,100,,34.9536,-119.141,795.36,
34087,2022 Wind Wolves Preserve Santiago Wetlands,12613,34.9391,-119.296,740,America/Los_Angeles,,2426.34,100,,34.9391,-119.296,739.55,
48395,2023 Baja Rancho Cinega,9353,32.538,-116.318,972,America/Tijuana,,3188.76,100,,32.538,-116.318,971.93,
48438,2023 Bridge St Pond,1295,33.8625,-117.072,434,America/Los_Angeles,,1423.75,100,,33.8625,-117.072,433.96,
48455,2023 Colusa NWR T27.1,4397,39.13754,-122.028,14,America/Los_Angeles,,44.47,100,,39.13754,-122.028,13.56,
58629,2023 Colusa NWR T27.2,4398,39.141,-122.028,14,America/Los_Angeles,,44.54,,,39.141,-122.028,13.58,
48453,2023 Colusa NWR T27.2 - partial,3571,39.14083,-122.028,14,America/Los_Angeles,Y,44.62,100,,39.14083,-122.028,13.6,
48473,2023 Conaway Ranch - HQ,3024,38.6478,-121.668,8,America/Los_Angeles,,24.93,100,,38.6478,-121.668,7.6,
48474,2023 Conaway Ranch NE,3317,38.65345,-121.67,7,America/Los_Angeles,,23.7,100,,38.65345,-121.67,7.22,
48477,2023 Conaway Ranch North 1,2518,38.65123,-121.687,9,America/Los_Angeles,,29.09,100,,38.65123,-121.687,8.87,
48476,2023 Conaway Ranch North 2,3167,38.65458,-121.685,9,America/Los_Angeles,,29.95,100,,38.65458,-121.685,9.13,
48462,2023 Creed Rd,9724,38.241,-121.888,13,America/Los_Angeles,,41.93,100,,38.241,-121.888,12.78,
48454,2023 Delevan NWR T43.1,4546,39.27867,-122.104,19,America/Los_Angeles,,61.8,100,,39.27867,-122.104,18.84,
48877,2023 Delevan NWR T43.2,8760,39.27849,-122.098,18,America/Los_Angeles,,58.52,100,,39.27849,-122.098,17.84,
48472,2023 Delevan T6,4019,39.32665,-122.115,21,America/Los_Angeles,,68.61,100,,39.32665,-122.115,20.91,
48463,2023 Hale Road,5826,39.08352,-121.512,19,America/Los_Angeles,,63.08,100,,39.08352,-121.512,19.23,
48468,2023 Hale Road Site 2,6331,39.08342,-121.512,19,America/Los_Angeles,,61.32,100,,39.08342,-121.512,18.69,
48457,2023 Iron Point,7570,38.647,-121.104,172,America/Los_Angeles,,564.86,564,0.86,38.647,-121.104,172.17,
48434,2023 Kentucky Lateral,2664,38.6717,-121.71,8,America/Los_Angeles,,25.48,100,,38.6717,-121.71,7.77,
48467,2023 Kern - Canebreak Ecological Reserve 4,5603,35.73148,-118.166,873,America/Los_Angeles,,2863.87,100,,35.73148,-118.166,872.91,
48470,2023 Kern - HQ2,7192,35.66687,-118.308,804,America/Los_Angeles,,2637.04,100,,35.66687,-118.308,803.77,
48459,2023 Laguna Fry Confluence - 45 Sump,3897,38.4731,-121.276,29,America/Los_Angeles,,95.61,100,,38.4731,-121.276,29.14,
48465,2023 Laguna Fry Confluence - Site 1,2894,38.48629,-121.279,28,America/Los_Angeles,,92.59,100,,38.48629,-121.279,28.22,
48396,2023 Leguna Seca,1,36.57177,-121.768,117,America/Los_Angeles,Y,383.72,100,,36.57177,-121.768,116.96,
48428,2023 Los Vaqueros - Walnut Trail Marsh,6544,37.85943,-121.699,53,America/Los_Angeles,,173.71,100,,37.85943,-121.699,52.95,
48444,2023 Los Vaqueros Reservoir,9255,37.83771,-121.696,80,America/Los_Angeles,,262.09,100,,37.83771,-121.696,79.88,
48435,2023 Markham Ravine A,710,38.88967,-121.464,19,America/Los_Angeles,,61.34,100,,38.88967,-121.464,18.7,
48436,2023 Markham Ravine B,4529,38.88963,-121.466,18,America/Los_Angeles,,58.28,100,,38.88963,-121.466,17.76,
48446,2023 Merced NWR - Cottonwood,2522,37.19175,-120.602,34,America/Los_Angeles,,111.15,100,,37.19175,-120.602,33.88,
48490,2023 Merced NWR Deadman Wetland Ditch,2511,37.18525,-120.636,31,America/Los_Angeles,,102.53,100,,37.18525,-120.636,31.25,
48448,2023 North Regional Pond,4520,38.6639,-121.712,10,America/Los_Angeles,,33.15,100,,38.6639,-121.712,10.1,
48397,2023 OR Dizney Rd,5551,44.72271,-121.238,481,America/Los_Angeles,,1579.62,100,,44.72271,-121.238,481.47,
48392,2023 OR Eureka Rd,6196,44.57825,-121.194,769,America/Los_Angeles,,2522.51,100,,44.57825,-121.194,768.86,
48445,2023 OR Prineville North,5544,44.36494,-120.919,888,America/Los_Angeles,,2914.53,100,,44.36494,-120.919,888.35,
48796,2023 Panoche Creek Preserve - Corrals NW,3162,36.58793,-120.767,318,America/Los_Angeles,,1042.3,100,,36.58793,-120.767,317.69,
48797,2023 Panoche Creek Preserve - Corrals SE,3161,36.58749,-120.765,321,America/Los_Angeles,,1054.42,100,,36.58749,-120.765,321.39,
48440,2023 Peterson Ranch Pond - East,8203,34.63236,-118.318,1029,America/Los_Angeles,,3374.69,100,,34.63236,-118.318,1028.61,
48461,2023 Peterson Ranch Pond - West,8202,34.63307,-118.32,1030,America/Los_Angeles,,3378.56,100,,34.63307,-118.32,1029.78,
48475,2023 Plumas Arboga 2,3089,39.0338,-121.524,19,America/Los_Angeles,,60.85,100,,39.0338,-121.524,18.55,
48437,2023 Plumas Arboga 8 - North Regional Pond,5611,39.043,-121.531,17,America/Los_Angeles,,57.23,100,,39.043,-121.531,17.44,
48764,2023 Rancho Jamul North Pond - fix lat lon,9321,32.685,-116.856,237,America/Los_Angeles,,778.99,100,,32.685,-116.856,237.44,
48765,2023 Rancho Jamul Site 1 fix lat lon,9045,32.685,-116.856,237,America/Los_Angeles,,778.99,100,,32.685,-116.856,237.44,
48447,2023 San Luis Bear Creek,2735,37.23928,-120.821,27,America/Los_Angeles,,87.65,100,,37.23928,-120.821,26.71,
48464,2023 San Luis NWR - West Bank Creek,3376,37.2663,-120.834,24,America/Los_Angeles,,78.33,100,,37.2663,-120.834,23.87,
48466,2023 Sedgwick,9000,34.695,-120.042,341,America/Los_Angeles,,1118.73,100,,34.695,-120.042,340.99,
48478,2023 South Virginia Road 3,4026,39.0639,-121.48,22,America/Los_Angeles,,72.17,100,,39.0639,-121.48,22,
48456,2023 Virginia at Ostrom,4101,39.07692,-121.494,21,America/Los_Angeles,,70.2,100,,39.07692,-121.494,21.4,
48398,2023 WA Harder Spring,8707,46.65726,-118.5,276,America/Los_Angeles,,906.91,100,,46.65726,-118.5,276.42,
48393,2023 WA McCain Wetlands,8577,46.85151,-119.183,283,America/Los_Angeles,,927.28,100,,46.85151,-119.183,282.64,
48747,2023 Weagell Property 1,4323,38.48589,-121.276,29,America/Los_Angeles,,95.31,100,,38.48589,-121.276,29.05,
48458,2023 Weagell Property 2,3898,38.48585,-121.275,29,America/Los_Angeles,,96.24,100,,38.48585,-121.275,29.33,
48439,2023 West of Davis,3877,33.84926,-117.129,434,America/Los_Angeles,,1423.7,100,,33.84926,-117.129,433.94,
48471,2023 Wind Wolves Preserve site 1,7856,34.953,-119.24,796,America/Los_Angeles,,2613.15,100,,34.953,-119.24,796.49,
48469,2023 Wind Wolves Preserve Site 2,7858,34.922,-119.309,902,America/Los_Angeles,,2959.29,100,,34.922,-119.309,901.99,
65446,2024 Baja Rancho Cinega Redonda 1,8446,32.538,-116.318,972,America/Tijuana,,3188.76,,,32.538,-116.318,971.93,
65447,2024 Baja Rancho Cinega Redonda 2,7172,32.532,-116.318,969,America/Tijuana,,3178.97,,,32.532,-116.318,968.95,
65453,2024 Colusa NWR T27.1,9453,39.13756,-122.028,14,America/Los_Angeles,,44.54,,,39.13756,-122.028,13.58,
65454,2024 Colusa NWR T27.2,6825,39.1409,-122.028,14,America/Los_Angeles,,44.65,,,39.1409,-122.028,13.61,
65455,2024 Delevan T43,0,39.2799,-122.105,17,America/Los_Angeles,Y,56.48,,,39.2799,-122.105,17.21,
63115,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,6184,37.74626,-121.743,183,America/Los_Angeles,,598.89,,,37.74626,-121.743,182.54,
65456,2024 Kern 1 - check lat lon,9029,35.67,-118.307,803,America/Los_Angeles,,2633.1,,,35.67,-118.307,802.57,
65444,2024 Baja Lago Mesa Redonda,6739,32.373,-116.879,503,America/Tijuana,,1650.24,,,32.373,-116.879,502.99,
63044,2024 Los Vaqueros Reservoir,7227,37.83771,-121.696,80,America/Los_Angeles,,262.09,,,37.83771,-121.696,79.88,
63085,2024 Markham Ravine 1,1221,38.88969,-121.459,18,America/Los_Angeles,,59.77,,,38.88969,-121.459,18.22,
63088,2024 Markham Ravine 2,1224,38.88975,-121.462,18,America/Los_Angeles,,58.48,,,38.88975,-121.462,17.83,
63113,2024 Markham Ravine 3,1229,38.88972,-121.465,18,America/Los_Angeles,,59.26,,,38.88972,-121.465,18.06,
63114,2024 Merced NWR - Cottonwood Trail,5612,37.19891,-120.599,34,America/Los_Angeles,,110.56,,,37.19891,-120.599,33.7,
63087,2024 Moore Lake - confirm lat lon,5912,36.45885,-121.799,411,America/Los_Angeles,,1348.93,,,36.45885,-121.799,411.15,
66012,2024 Newberry Springs,1639,34.877,-116.606,549,America/Los_Angeles,,1802.21,,,34.877,-116.606,549.31,
63049,2024 Ohlone - Santa Lucia Preserve,5908,36.508,-121.879,317,America/Los_Angeles,,1040.63,,,36.508,-121.879,317.19,
63086,2024 OR Eureka Lane,5110,44.57824,-121.194,769,America/Los_Angeles,,2521.94,,,44.57824,-121.194,768.69,
65471,2024 Panoche Creek Preserve - Dollar Marsh East,7788,36.590464,-120.769368,319,America/Los_Angeles,,1046.29,,,36.591,-120.769,318.91,
65469,2024 Panoche Creek Preserve - Dollar Marsh South,7736,36.589212,-120.770691,319,America/Los_Angeles,,1046.29,,,36.591,-120.769,318.91,
65470,2024 Panoche Creek Preserve - Dollar Marsh West,7790,36.591868,-120.772323,319,America/Los_Angeles,,1046.29,,,36.591,-120.769,318.91,
63656,2024 Rancho Jamul - Main Pond 1,9409,32.685,-116.856,237,America/Los_Angeles,,778.92,,,32.685,-116.856,237.42,
63657,2024 Rancho Jamul - Main Pond 2,7386,32.685,-116.856,237,America/Los_Angeles,,778.92,,,32.685,-116.856,237.42,
63468,2024 Rancho Jamul - North Pond,6096,32.685,-116.856,237,America/Los_Angeles,,778.92,,,32.685,-116.856,237.42,
63089,2024 SJWA Thistle NW of Bridge Street Pond,1224,33.86235,-117.076,435,America/Los_Angeles,,1427.19,,,33.86235,-117.076,435.01,
63738,2024 Sedgwick,8740,34.995,-120.042,924,America/Los_Angeles,,3030.08,,,34.995,-120.042,923.57,
63116,2024 WA Harder Spring,9452,46.657,-118.499,276,America/Los_Angeles,,904.85,,,46.657,-118.499,275.8,
63465,2024 WA McCain Pond,9011,48.852,-119.183,1243,America/Los_Angeles,,4079.1,,,48.852,-119.183,1243.31,
65481,2024 Wind Wolves Preserve - Los Lobos fix lat lon,9322,34.953,-119.309,668,America/Los_Angeles,,2191.77,,,34.953,-119.309,668.05,
65482,2024 Wind Wolves Preserve - Pleitito,7337,34.954,-119.141,819,America/Los_Angeles,,2687.45,,,34.954,-119.141,819.13,
65483,2024 Wind Wolves Preserve - Santiago,8187,34.939,-119.296,742,America/Los_Angeles,,2435.52,,,34.939,-119.296,742.35,
65480,2024 Wind Wolves Preserve - Tevis fix lat lon,9174,34.922,-119.309,902,America/Los_Angeles,,2959.29,,,34.922,-119.309,901.99,
48479,Bad - 2022 Panoche Creek Loc 4,1644,36.591,-120.769,100,America/Los_Angeles,Y,,,,,,,
48881,Bad - 2022 Panoche Creek loc 4 try2,1644,36.591,-120.769,100,America/Los_Angeles,Y,,,,,,,
52596,Bad - 2022 Panoche Creek Preserve Loc3,0,36.591,-120.591,100,America/Los_Angeles,Y,,,,,,,
44956,Bad - Delete 2023 Panoche Creek - corrals SE,3164,36.58749,-120.765,100,America/Los_Angeles,Y,,,,,,,
44867,Bad Delete - 2023 Panoche Creek - Corrals NW,3162,36.58793,-120.767,100,America/Los_Angeles,Y,,,,,,,
48880,Bad Delete - Panoche Creek - Corrals SE try 2,3163,36.58749,-120.765,100,America/Los_Angeles,Y,,,,,,,
48879,Bad Delete 2023 Panoche Creek - Corrals NW try 2,3162,36.58793,-120.767,100,America/Los_Angeles,Y,,,,,,,
34486,Bad time - delete - 2022 Baja 2,8235,32.53799,-116.318,100,America/Tijuana,Y,,,,,,,
48878,Old - 2022 Panoche Creek Preserve loc3,6992,36.591,-120.591,100,America/Los_Angeles,Y,,,,,,,
53734,TestAM01,2,38,-122,0,America/Los_Angeles,Y,,,,,,,
53733,TestAM22,0,38,-122,0,America/Los_Angeles,Y,,,,,,,
53732,TestAM77,0,38,-121,0,America/Los_Angeles,Y,,,,,,,
8066,testing,242,,,0,Etc/GMT,Y,,,,,,,
32016,Testing Data 2021 RG1,227,38.863,-121.287,100,America/Los_Angeles,Y,,,,,,,
32010,Training Data 2021 PA,21,39.03,-121.537,100,America/Los_Angeles,Y,,,,,,,
32015,Training data 2021 RG1,227,38.863,-121.287,100,America/Los_Angeles,Y,,,,,,,
